Nombre,Candidato,Score_nombre,Dirección,Dirección_candidato,Score_dirección
Liceo de Formacion Integral,Liceo de Formación Integral,96.2962962962963,8A. CALLE 1 - 15 ZONA 1 COLONIA QUIRIO CATAÑO II,8VA. CALLE 1 - 15 ZONA 1 COLONIA QUIRIO CATAÑO II,98.96907216494846
Centro Pedagogico Guatemala,Centro Pedagógico Guatemala,96.2962962962963,CALLE DEL BANCO BARRIO 6 DE NOVIEMBRE,CALLE DEL BANCO BARRIO 6 DE NOVIEMBRE,100.0
Liceo Tecnico Quezaltepeque,Liceo Técnico Quezaltepeque,96.2962962962963,9NO. CALLEJON 1 - 72 ZONA 1,9NO. CALLEJÓN 1 - 72 ZONA 1,96.2962962962963
Liceo Técnico Quezaltepeque,Liceo Tecnico Quezaltepeque,96.2962962962963,9. CALLEJON 1 - 72 ZONA 1,9. CALLEJON 1 - 72 ZONA 1,100.0
Liceo de Formación Integral,Liceo de Formacion Integral,96.2962962962963,8VA. CALLE 1 - 15 ZONA 1 COLONIA QUIRIO CATAÑO II,8A. CALLE 1 - 15 ZONA 1 COLONIA QUIRIO CATAÑO II,98.96907216494846
Colegio Técnico de Comercio,Colegio Tecnico de Comercio,96.2962962962963,5A. CALLE 1 - 97 COLONIA LOMAS DE SAN JACINTO ZONA 10,5TA. CALLE 1 - 97 ZONA 10 COLONIA LOMAS DE SAN JACINTO,99.06542056074767
Liceo Tecnico Quezaltepeque,Liceo Técnico Quezaltepeque,96.2962962962963,9NO. CALLEJON 1 - 72 ZONA 1,9. CALLEJON 1 - 72 ZONA 1,96.15384615384616
Liceo Técnico Quezaltepeque,Liceo Tecnico Quezaltepeque,96.2962962962963,9. CALLEJON 1 - 72 ZONA 1,9NO. CALLEJON 1 - 72 ZONA 1,96.15384615384616
Instituto Privado Mixto de Formación Juvenil Río Dulce,Instituto Privado Mixto de Formacion Juvenil Rio Dulce,96.2962962962963,ALDEA FRONTERAS RIO DULCE,ALDEA FRONTERAS RIO DULCE,100.0
Instituto Privado Mixto de Formación Juvenil Río Dulce,Instituto Privado Mixto de Formacion Juvenil Rio Dulce,96.2962962962963,ALDEA FRONTERAS RIO DULCE,"ALDEA FRONTERAS, RIO DULCE",98.0392156862745
Instituto Privado Mixto de Formacion Juvenil Rio Dulce,Instituto Privado Mixto de Formación Juvenil Río Dulce,96.2962962962963,"ALDEA FRONTERAS, RIO DULCE",ALDEA FRONTERAS RIO DULCE,98.0392156862745
Centro Pedagógico Guatemala,Centro Pedagogico Guatemala,96.2962962962963,CALLE DEL BANCO BARRIO 6 DE NOVIEMBRE,"CALLE DEL BANCO, BARRIO 6 DE NOVIEMBRE",98.66666666666667
Instituto Municipal de Educacion Basica por Madurez y Diversificado,Instituto Municipal de Educación Básica por Madurez y Diversificado.,96.2962962962963,ESCUELA OFICIAL RURAL MIXTA ALDEA CEIBA AMELIA,ESCUELA OFICIAL RURAL MIXTA. ALDEA CEIBA AMELIA.,97.87234042553192
Instituto Privado Mixto de Formación Juvenil Río Dulce,Instituto Privado Mixto de Formacion Juvenil Rio Dulce,96.2962962962963,ALDEA FRONTERAS RIO DULCE,"ALDEA FRONTERAS, RIO DULCE",98.0392156862745
Liceo Tecnico Quezaltepeque,Liceo Técnico Quezaltepeque,96.2962962962963,9. CALLEJON 1 - 72 ZONA 1,9NO. CALLEJÓN 1 - 72 ZONA 1,92.3076923076923
Instituto Privado Mixto de Formacion Juvenil Rio Dulce,Instituto Privado Mixto de Formación Juvenil Río Dulce,96.2962962962963,"ALDEA FRONTERAS, RIO DULCE",ALDEA FRONTERAS RIO DULCE,98.0392156862745
Instituto Privado Mixto de Formacion Juvenil Rio Dulce,Instituto Privado Mixto de Formación Juvenil Río Dulce,96.2962962962963,ALDEA FRONTERAS RIO DULCE,ALDEA FRONTERAS RIO DULCE,100.0
Instituto Privado Mixto de Formación Juvenil Río Dulce,Instituto Privado Mixto de Formacion Juvenil Rio Dulce,96.2962962962963,ALDEA FRONTERAS RIO DULCE,ALDEA FRONTERAS RIO DULCE,100.0
Centro Pedagogico Guatemala,Centro Pedagógico Guatemala,96.2962962962963,CALLE DEL BANCO BARRIO 6 DE NOVIEMBRE,CALLE DEL BANCO BARRIO 6 DE NOVIEMBRE,100.0
Instituto Privado Mixto de Formacion Juvenil Rio Dulce,Instituto Privado Mixto de Formación Juvenil Río Dulce,96.2962962962963,ALDEA FRONTERAS RIO DULCE,ALDEA FRONTERAS RIO DULCE,100.0
Instituto Municipal de Educación Básica por Madurez y Diversificado.,Instituto Municipal de Educacion Basica por Madurez y Diversificado,96.2962962962963,ESCUELA OFICIAL RURAL MIXTA. ALDEA CEIBA AMELIA.,ESCUELA OFICIAL RURAL MIXTA ALDEA CEIBA AMELIA,97.87234042553192
Instituto Nacional de Educacion Basica y Diversificado Nuevo Amanecer con Vision,Instituto Nacional de Educación Básica y Diversificado Nuevo Amanecer con Visión,96.25,"5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1","5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1",100.0
Instituto Nacional de Educación Básica y Diversificado Nuevo Amanecer con Visión,Instituto Nacional de Educacion Basica y Diversificado Nuevo Amanecer con Vision,96.25,"5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1","5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1",100.0
Colegio Cientifico Galileo,Colegio Científico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Cientifico Galileo,Colegio Científico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Liceo de Ciencias Tecnicas,Liceo de Ciencias Técnicas,96.15384615384616,1A. CALLE 13 - 59,1RA. CALLE 13 - 59,97.14285714285714
Liceo de Ciencias Tecnicas,Liceo de Ciencias Técnicas,96.15384615384616,1A. CALLE 13 - 59,1RA. CALLE 13 - 59,97.14285714285714
Colegio Cientifico Galileo,Colegio Científico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Cientifico Galileo,Colegio Científico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Cientifico Galileo,Colegio Científico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Científico Galileo,Colegio Cientifico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Científico Galileo,Colegio Cientifico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Liceo Bilingue los Angeles,Liceo Bilingüe los Angeles,96.15384615384616,1A. AVENIDA 3 - 56 ZONA 2,1ERA. AVENIDA 3 - 56 ZONA 2,96.15384615384616
Liceo Bilingüe los Angeles,Liceo Bilingue los Angeles,96.15384615384616,1ERA. AVENIDA 3 - 56 ZONA 2,1A. AVENIDA 3 - 56 ZONA 2,96.15384615384616
Liceo de Ciencias Técnicas,Liceo de Ciencias Tecnicas,96.15384615384616,1RA. CALLE 13 - 59,1A. CALLE 13 - 59,97.14285714285714
Liceo de Ciencias Técnicas,Liceo de Ciencias Tecnicas,96.15384615384616,1RA. CALLE 13 - 59,1A. CALLE 13 - 59,97.14285714285714
Colegio Científico Galileo,Colegio Cientifico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Científico Galileo,Colegio Cientifico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Colegio Cientifico Galileo,Colegio Científico Galileo,96.15384615384616,CALLE 3 DE MAYO,CALLE 3 DE MAYO,100.0
Liceo de Ciencias Tecnicas,Liceo de Ciencias Técnicas,96.15384615384616,1A. CALLE 13 - 59,1RA. CALLE 13 - 59,97.14285714285714
Liceo de Ciencias Técnicas,Liceo de Ciencias Tecnicas,96.15384615384616,1RA. CALLE 13 - 59,1A. CALLE 13 - 59,97.14285714285714
Colegio Paraiso Escondido,Colegio Paraíso Escondido,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Instituto Normal Privado Juan José Arévalo Bermejo,Instituto Normal Privado Juan Jose Arevalo Bermejo,96.0,CANTÓN REFORMA,CANTON REFORMA,92.85714285714286
Liceo Preuniversitario de Informatica y Tecnologia,Liceo Preuniversitario de Informática y Tecnología,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Liceo Preuniversitario de Informatica y Tecnologia,Liceo Preuniversitario de Informática y Tecnología,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Instituto Normal Privado Juan Jose Arevalo Bermejo,Instituto Normal Privado Juan José Arévalo Bermejo,96.0,CANTON REFORMA,CANTÓN REFORMA,92.85714285714286
Colegio Paraíso Escondido,Colegio Paraiso Escondido,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Paraiso Escondido,Colegio Paraíso Escondido,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Liceo Preuniversitario de Informatica y Tecnologia,Liceo Preuniversitario de Informática y Tecnología,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Liceo Preuniversitario de Informática y Tecnología,Liceo Preuniversitario de Informatica y Tecnologia,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Colegio Paraíso Escondido,Colegio Paraiso Escondido,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Paraíso Escondido,Colegio Paraiso Escondido,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Liceo Preuniversitario de Informática y Tecnología,Liceo Preuniversitario de Informatica y Tecnologia,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Liceo Preuniversitario de Informática y Tecnología,Liceo Preuniversitario de Informatica y Tecnologia,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Liceo Preuniversitario de Informática y Tecnología,Liceo Preuniversitario de Informatica y Tecnologia,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Colegio Evangélico Israel,Colegio Evangelico Israel,96.0,1A. CALLE 2 - 39 ZONA 4,1A. CALLE 2 - 39 ZONA 4,100.0
Colegio Paraiso Escondido,Colegio Paraíso Escondido,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Evangélico Israel,Colegio Evangelico Israel,96.0,1A. CALLE 2 - 39 ZONA 4,1A. CALLE 2 - 39 ZONA 4,100.0
Colegio Evangélico Israel,Colegio Evangelico Israel,96.0,1A. CALLE 2 - 39 ZONA 4,1A. CALLE 2 - 39 ZONA 4,100.0
Liceo Preuniversitario de Informatica y Tecnologia,Liceo Preuniversitario de Informática y Tecnología,96.0,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,1A. AVENIDA 1 - 41 ZONA 2 ALDEA EL PORVENIR,100.0
Colegio Evangelico Israel,Colegio Evangélico Israel,96.0,1A. CALLE 2 - 39 ZONA 4,1A. CALLE 2 - 39 ZONA 4,100.0
Colegio Evangelico Israel,Colegio Evangélico Israel,96.0,1A. CALLE 2 - 39 ZONA 4,1A. CALLE 2 - 39 ZONA 4,100.0
Colegio Evangelico Israel,Colegio Evangélico Israel,96.0,1A. CALLE 2 - 39 ZONA 4,1A. CALLE 2 - 39 ZONA 4,100.0
Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,Colegio Evangélico Tecnológico Privado Mixto Bersheba Bless God,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Evangélico Tecnológico Privado Mixto Bersheba Bless God,Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Evangélico Tecnológico Privado Mixto Bersheba Bless God,Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Evangélico Tecnológico Privado Mixto Bersheba Bless God,Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,Colegio Evangélico Tecnológico Privado Mixto Bersheba Bless God,96.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Privado Mixto de Educación Básica Educare,Colegio Privado Mixto de Educacion Basica Educare,95.91836734693877,"6A. AVENIDA 0 - 67 ZONA 5, BARRIO SAN FRANCISCO","6A. AVENIDA 0 - 67 ZONA 5, BARRIO SAN FRANCISCO",100.0
Colegio Privado Mixto de Educacion Basica Educare,Colegio Privado Mixto de Educación Básica Educare,95.91836734693877,"6A. AVENIDA 0 - 67 ZONA 5, BARRIO SAN FRANCISCO","6A. AVENIDA 0 - 67 ZONA 5, BARRIO SAN FRANCISCO",100.0
Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Dr. Juan Jose Arevalo Bermejo,Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Doctor Juan José Arévalo Bermejo,95.85253456221197,8A. AVENIDA 9 - 60,8A. AVENIDA 9 - 60,100.0
Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Doctor Juan José Arévalo Bermejo,Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Dr. Juan Jose Arevalo Bermejo,95.85253456221197,8A. AVENIDA 9 - 60,8A. AVENIDA 9 - 60,100.0
Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Dr. Juan Jose Arevalo Bermejo,Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Doctor Juan José Arévalo Bermejo,95.85253456221197,8A. AVENIDA 9 - 60,8A. AVENIDA 9 - 60,100.0
Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Doctor Juan José Arévalo Bermejo,Instituto de Educación Básica y Bachillerato en Ciencias y Letras por Madurez Dr. Juan Jose Arevalo Bermejo,95.85253456221197,8A. AVENIDA 9 - 60,8A. AVENIDA 9 - 60,100.0
Colegio Privado Mixto Tecnologico en Informatica,Colegio Privado Mixto Tecnológico en Informática,95.83333333333334,"2A. CALLE 12 - 23, ZONA 4",2A. CALLE 12 - 23 ZONA 4,97.95918367346938
Colegio Privado Mixto Tecnológico en Informática,Colegio Privado Mixto Tecnologico en Informatica,95.83333333333334,2A. CALLE 12 - 23 ZONA 4,2A. CALLE 12 - 23 ZONA 4,100.0
Liceo Evangélico el Alba,Liceo Evangelico el Alba,95.83333333333334,"6A. AVENIDA A 9 - 17, ZONA 1",6A AVENIDA 9 - 17 ZONA 1,92.3076923076923
Liceo Evangelico el Alba,Liceo Evangélico el Alba,95.83333333333334,6A AVENIDA 9 - 17 ZONA 1,"6A. AVENIDA A 9 - 17, ZONA 1",92.3076923076923
Colegio Técnico Industrial Luis Cardoza y Aragón,Colegio Tecnico Industrial Luis Cardoza y Aragon,95.83333333333334,5TA. CALLE 1 - 36,5A. CALLE 1 - 36,96.96969696969697
Colegio Tecnico Industrial Luis Cardoza y Aragon,Colegio Técnico Industrial Luis Cardoza y Aragón,95.83333333333334,5A. CALLE 1 - 36,5TA. CALLE 1 - 36,96.96969696969697
Colegio Privado Mixto Tecnologico en Informatica,Colegio Privado Mixto Tecnológico en Informática,95.83333333333334,2A. CALLE 12 - 23 ZONA 4,2A. CALLE 12 - 23 ZONA 4,100.0
Colegio Privado Mixto Tecnológico en Informática,Colegio Privado Mixto Tecnologico en Informatica,95.83333333333334,2A. CALLE 12 - 23 ZONA 4,"2A. CALLE 12 - 23, ZONA 4",97.95918367346938
Colegio Privado Mixto Tecnologico en Informatica,Colegio Privado Mixto Tecnológico en Informática,95.83333333333334,2A. CALLE 12 - 23 ZONA 4,2A. CALLE 12 - 23 ZONA 4,100.0
Colegio Privado Mixto Tecnológico en Informática,Colegio Privado Mixto Tecnologico en Informatica,95.83333333333334,2A. CALLE 12 - 23 ZONA 4,2A. CALLE 12 - 23 ZONA 4,100.0
Instituto Tecnologico de Computacion de Oriente,Instituto Tecnológico de Computación de Oriente,95.74468085106383,"8VA. CALLE 4 - 42 ZONA 1, BARRIO LATINO","8A. CALLE 4 - 42 ZONA 1, BARRIO LATINO",98.7012987012987
Instituto Tecnológico de Computación de Oriente,Instituto Tecnologico de Computacion de Oriente,95.74468085106383,"8A. CALLE 4 - 42 ZONA 1, BARRIO LATINO","8VA. CALLE 4 - 42 ZONA 1, BARRIO LATINO",98.7012987012987
Escuela Tecnica Profesional Moises Lira Serafin,Escuela Técnica Profesional Moisés Lira Serafin,95.74468085106383,CASERIO LAS CHAMPAS ALDEA SANTA GERTRUDIS,"CASERIO LAS CHAMPAS, ALDEA SANTA GERTRUDIS",98.79518072289156
Escuela Técnica Profesional Moisés Lira Serafin,Escuela Tecnica Profesional Moises Lira Serafin,95.74468085106383,"CASERIO LAS CHAMPAS, ALDEA SANTA GERTRUDIS",CASERIO LAS CHAMPAS ALDEA SANTA GERTRUDIS,98.79518072289156
Instituto Particular de Formación y Desarrollo Profesional Indeforp,Instituto Particular Mixto de Formación y Desarrollo Profesional Indeforp,95.71428571428572,CALLE PRINCIPAL,CALLE PRINCIPAL,100.0
Escuela Normal para Maestros de Educacion Musical Jesus Maria Alvarado,Escuela Normal para Maestros de Educación Musical Jesús María Alvarado,95.71428571428572,"10A. AVENIDA 2 - 24,",10 AVENIDA 2 - 24,91.89189189189189
Escuela Normal para Maestros de Educación Musical Jesús María Alvarado,Escuela Normal para Maestros de Educacion Musical Jesus Maria Alvarado,95.71428571428572,10 AVENIDA 2 - 24,"10A. AVENIDA 2 - 24,",91.89189189189189
Instituto Particular Mixto de Formación y Desarrollo Profesional Indeforp,Instituto Particular de Formación y Desarrollo Profesional Indeforp,95.71428571428572,CALLE PRINCIPAL,CALLE PRINCIPAL,100.0
Liceo Técnico Comercial,Liceo Tecnico Comercial,95.65217391304348,4TA. AVENIDA 5 - 26,4A. AVENIDA 5 - 26,97.2972972972973
Liceo Tecnico Comercial,Liceo Técnico Comercial,95.65217391304348,4A. AVENIDA 5 - 26,4TA. AVENIDA 5 - 26,97.2972972972973
Liceo Técnico Comercial,Liceo Tecnico Comercial,95.65217391304348,4TA. AVENIDA 5 - 26,4TA. AVENIDA 5 - 26,100.0
Colegio Bilingue Corban,Colegio Bilingue Corbán,95.65217391304348,"9A. CALLE 13 - 09, BARRIO HOSPITAL",9A. CALLE 13 - 09 BARRIO HOSPITAL,98.50746268656717
Liceo Tecnológico Gales,Liceo Tecnologico Gales,95.65217391304348,"LOTE 8, FRACCION 2 ZONA 4, GRANJAS ITALIA","LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA",98.79518072289156
Liceo Tecnologico Gales,Liceo Tecnológico Gales,95.65217391304348,"LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA","LOTE 8, FRACCION 2 ZONA 4, GRANJAS ITALIA",98.79518072289156
Liceo Tecnológico Gales,Liceo Tecnologico Gales,95.65217391304348,"LOTE 8, FRACCION 2 ZONA 4, GRANJAS ITALIA","LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA",98.79518072289156
Liceo Tecnológico Gales,Liceo Tecnologico Gales,95.65217391304348,"LOTE 8, FRACCION 2 ZONA 4, GRANJAS ITALIA","LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA",98.79518072289156
Colegio de Informática Imb-pc No.1,Colegio de Informática Imb-pc No. 1,95.65217391304348,CALZADA SAN JUAN 31 - 97 Y 32 AVENIDA 4 - 04 ZONA 7 GUATEMALA,"CALZADA SAN JUAN Y 32 AVENIDA 31 - 97, 31 - 99 Y 4 - 04 ZONA 7 GUATEMALA",91.72932330827068
Colegio de Informática Imb-pc No. 1,Colegio de Informática Imb-pc No.1,95.65217391304348,"CALZADA SAN JUAN Y 32 AVENIDA 31 - 97, 31 - 99 Y 4 - 04 ZONA 7 GUATEMALA",CALZADA SAN JUAN 31 - 97 Y 32 AVENIDA 4 - 04 ZONA 7 GUATEMALA,91.72932330827068
Liceo Tecnologico Gales,Liceo Tecnológico Gales,95.65217391304348,"LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA","LOTE 8, FRACCION 2 ZONA 4, GRANJAS ITALIA",98.79518072289156
Liceo Tecnologico Gales,Liceo Tecnológico Gales,95.65217391304348,"LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA","LOTE 8, FRACCION 2 ZONA 4, GRANJAS ITALIA",98.79518072289156
Colegio Bilingue Corbán,Colegio Bilingue Corban,95.65217391304348,9A. CALLE 13 - 09 BARRIO HOSPITAL,"9A. CALLE 13 - 09, BARRIO HOSPITAL",98.50746268656717
Colegio Bilingue Corbán,Colegio Bilingue Corban,95.65217391304348,9A. CALLE 13 - 09 BARRIO HOSPITAL,"9A. CALLE 13 - 09, BARRIO HOSPITAL",98.50746268656717
